Index,ID,Address label,Whitelist,Coin,Address_Metamask,Network,Memo,Address origin
1,1,0001_eth_arbitrum,,eth,0x87D25f2A8cfABa06bA60bE911DA3401604531229,arbitrum,,MetaMask
2,2,0002_eth_arbitrum,,eth,0x20BE2a74d3cECdD5dC192F813B3C1365A0896b4A,arbitrum,,MetaMask
3,3,0003_eth_arbitrum,,eth,0x5842b90d5Ba4a545E5c41E1689089367953C987b,arbitrum,,MetaMask
4,4,0004_eth_arbitrum,,eth,0xf1522aa4390f57fC3C9C309dD1388882cF4c0216,arbitrum,,MetaMask
5,5,0005_eth_arbitrum,,eth,0x6EC2509b69c0015046BbbEBA8a1C55A522A810Dd,arbitrum,,MetaMask
6,6,0006_eth_arbitrum,,eth,0x4bB2F63a562eC44Bba554380205A183d47E683a3,arbitrum,,MetaMask
7,7,0007_eth_arbitrum,,eth,0x3238f3d0Aa88d79AE05Ed8d236cf186cDe03426f,arbitrum,,MetaMask
8,8,0008_eth_arbitrum,,eth,0xe1d17ddc2d3F246fC9DB516b8f1A2C17a020762e,arbitrum,,MetaMask
9,9,0009_eth_arbitrum,,eth,0xAE9fa765B261f8518aCABf461Fc1b3fB96279a0b,arbitrum,,MetaMask
10,10,0010_eth_arbitrum,,eth,0x71a6dFe3aE69C4933B9107895148F8A1F19C1C8D,arbitrum,,MetaMask
11,11,0011_eth_arbitrum,,eth,0x2A1291F774D8feEdCC557115bf463c42A851f102,arbitrum,,MetaMask
12,12,0012_eth_arbitrum,,eth,0xf7735390B9370fE6b585dB42dec7c5B8fa598577,arbitrum,,MetaMask
13,13,0013_eth_arbitrum,,eth,0x5dA9Cf6768113bA85C3Bd0DF6a636319D304C3fA,arbitrum,,MetaMask
14,14,0014_eth_arbitrum,,eth,0xDBc5afFbD74a06fCc600e354A05FF3E719cE5393,arbitrum,,MetaMask
15,15,0015_eth_arbitrum,,eth,0x252F5CD31D47d5A4819E69Ddb3048ce400E88d53,arbitrum,,MetaMask
16,16,0016_eth_arbitrum,,eth,0x7e22B240237dCa06E05097c3c2eaA9264a905765,arbitrum,,MetaMask
17,17,0017_eth_arbitrum,,eth,0xcCFCe2589ad1Dd94e8a2ebd4F1f636b15BEB6851,arbitrum,,MetaMask
18,18,0018_eth_arbitrum,,eth,0xd280418758f45881b9b00f1ccC9a183c6e05d85f,arbitrum,,MetaMask
19,19,0019_eth_arbitrum,,eth,0x914Aa322D0DDbF8646E154b58788a21170Bef01E,arbitrum,,MetaMask
20,20,0020_eth_arbitrum,,eth,0x86059dB6605a1c5F32A26f0861aA8a05F5F0eee2,arbitrum,,MetaMask
21,21,0021_eth_arbitrum,,eth,0x8CFADd0bF6b57B3ec262751f87aAed0504e5D85F,arbitrum,,MetaMask
22,22,0022_eth_arbitrum,,eth,0x3e7Bf8D2AC2D68E188eF60e1C203067C38F53c5B,arbitrum,,MetaMask
23,23,0023_eth_arbitrum,,eth,0x3ddd3781f5D44CA92249Dea9576538b57e100f9C,arbitrum,,MetaMask
24,24,0024_eth_arbitrum,,eth,0x42bBFf96B0FAD436Fb4063ff00ec613A73aCf0DE,arbitrum,,MetaMask
25,25,0025_eth_arbitrum,,eth,0x733552ac8391AEE0786A4F310e411b914778f84f,arbitrum,,MetaMask
26,26,0026_eth_arbitrum,,eth,0xC5DA8Bc3424a0284EfF380135a82c9E99EA1533D,arbitrum,,MetaMask
27,27,0027_eth_arbitrum,,eth,0x69A9C5218dA8dA5D55aaB8bc298e28c070BA06f9,arbitrum,,MetaMask
28,28,0028_eth_arbitrum,,eth,0xb20352472a7C2E56E521Bc3b5b5EC4fa46574606,arbitrum,,MetaMask
29,29,0029_eth_arbitrum,,eth,0x3Ebf6637A9A5fe5116106B8cAEB323ad7D9d59E0,arbitrum,,MetaMask
30,30,0030_eth_arbitrum,,eth,0x4befFE2Db7b856e97cef7A27dA66555C4Fb163c8,arbitrum,,MetaMask
31,31,0031_eth_arbitrum,,eth,0xa5EBbd10934878660F804B5cFAbcf8Ddc699DB00,arbitrum,,MetaMask
32,32,0032_eth_arbitrum,,eth,0x44B66ab547a283BaC81D3950EEA4BC365809df26,arbitrum,,MetaMask
33,33,0033_eth_arbitrum,,eth,0xd39Ab28f0D6336Ca225A3cDeb7f0c74a8A9c3A85,arbitrum,,MetaMask
34,34,0034_eth_arbitrum,,eth,0xfAFe89a9402ef64438679Af1f725c258593Fce62,arbitrum,,MetaMask
35,35,0035_eth_arbitrum,,eth,0x2030175A286992Df646C2d94014d0D3f2a70Ab25,arbitrum,,MetaMask
36,36,0036_eth_arbitrum,,eth,0x5666312CDF2BB88498Caf778514f5DfB471B7AD2,arbitrum,,MetaMask
37,37,0037_eth_arbitrum,,eth,0x855807e15EB0bBD67844f25296Cb475518d1d105,arbitrum,,MetaMask
38,38,0038_eth_arbitrum,,eth,0x5aAF6a1596518E6395c7CE6E85D78540dcBa0672,arbitrum,,MetaMask
39,39,0039_eth_arbitrum,,eth,0xFDf7298003016Dd459C2a3B8F6C3f0365BdCC7d5,arbitrum,,MetaMask
40,40,0040_eth_arbitrum,,eth,0xdCf4D67a51cfA8e1f9B539D5f0DE1e032B5f54ec,arbitrum,,MetaMask
41,41,0041_eth_arbitrum,,eth,0xA49188fa9F357c20044a8800D25BE412642153fe,arbitrum,,MetaMask
42,42,0042_eth_arbitrum,,eth,0x777C2DF06607d4A34eDAFf4E451bCb9c5A5440Ea,arbitrum,,MetaMask
43,43,0043_eth_arbitrum,,eth,0x7d2811b9207fC9c2C4DEBeF93Cd2CC56749382B2,arbitrum,,MetaMask
44,44,0044_eth_arbitrum,,eth,0x690DAd38D0722BD90569fb817335b7E92B4D339e,arbitrum,,MetaMask
45,45,0045_eth_arbitrum,,eth,0xE2CAb05649FB4DdA8D5C7a32A49aFC7987FE01fa,arbitrum,,MetaMask
46,46,0046_eth_arbitrum,,eth,0x77582296bc14becadb925C74780126949229146f,arbitrum,,MetaMask
47,47,0047_eth_arbitrum,,eth,0x5c211bE126F1A3f972787f00b2694a84AF56ec5b,arbitrum,,MetaMask
48,48,0048_eth_arbitrum,,eth,0x3D55eE422B73460e71999aF524Ffe94a5dD46934,arbitrum,,MetaMask
49,49,0049_eth_arbitrum,,eth,0x8A1F2c8a76F6f4837B5A1485e1fd6C09F0c44aA8,arbitrum,,MetaMask
50,50,0050_eth_arbitrum,,eth,0x43bE0e2713D6A2525ebF9a4Eb429af9A0f2a77D7,arbitrum,,MetaMask
51,51,0051_eth_arbitrum,,eth,0xf4fe3515ABAD4b400f2135640dC31B5feA777978,arbitrum,,MetaMask
52,52,0052_eth_arbitrum,,eth,0xc2c2109DB2B535E2adf62028FBAD740515DCD2EE,arbitrum,,MetaMask
53,53,0053_eth_arbitrum,,eth,0xD5310C8e1aCce0daD2A85490ebd4bf06420E3140,arbitrum,,MetaMask
54,54,0054_eth_arbitrum,,eth,0x2130560405656CE3baad1FA8056C2554883b7b92,arbitrum,,MetaMask
55,55,0055_eth_arbitrum,,eth,0xEA37704Be7bC4575B111BD92796Fe02C2088D5EB,arbitrum,,MetaMask
56,56,0056_eth_arbitrum,,eth,0xd2370390764839008021E95C70C80769AcfFF4A9,arbitrum,,MetaMask
57,57,0057_eth_arbitrum,,eth,0x2d5997Cd1f7Dab6cD9a3b6246Daa55D544a0Fcd6,arbitrum,,MetaMask
58,58,0058_eth_arbitrum,,eth,0x373a7Cdc04ca76Fc681De9365dD802A24BE725ab,arbitrum,,MetaMask
59,59,0059_eth_arbitrum,,eth,0x5C7F4b0dF3c2eBC9293ADD99E8598A8Aa173B168,arbitrum,,MetaMask
60,60,0060_eth_arbitrum,,eth,0x30bD92f4B8902a0Bf36B477430442504365E3f77,arbitrum,,MetaMask
61,61,0061_eth_arbitrum,,eth,0xC0497A20Dde150c20922231bB6bcB56cc41B7C62,arbitrum,,MetaMask
62,62,0062_eth_arbitrum,,eth,0x524B9Cd256668f02aC246F62Dc1E9143159D0b85,arbitrum,,MetaMask
63,63,0063_eth_arbitrum,,eth,0xE45d66c5900bcd5059666DA0CE1F977faaFb69d5,arbitrum,,MetaMask
64,64,0064_eth_arbitrum,,eth,0x8291f302189283B0C0E4c78B340070a8d748DdD9,arbitrum,,MetaMask
65,65,0065_eth_arbitrum,,eth,0xBaDDBaED3b19F6ca4778bE9580b8d12c1FCf25Ea,arbitrum,,MetaMask
66,66,0066_eth_arbitrum,,eth,0xD5D84B783286225083200c0FD2e819e0d600e2F7,arbitrum,,MetaMask
67,67,0067_eth_arbitrum,,eth,0xb485a94D6Af76898707B3aa7805c189C7825Ed49,arbitrum,,MetaMask
68,68,0068_eth_arbitrum,,eth,0x0DE0b32e0a731A04B369A472b21313e05F5CD50B,arbitrum,,MetaMask
69,69,0069_eth_arbitrum,,eth,0x8811bc7f71b08624f2f9F49A4De9bb55BBb08b7A,arbitrum,,MetaMask
70,70,0070_eth_arbitrum,,eth,0x7F642c381294ba786dd2fF22cdC64314eB5A7e5F,arbitrum,,MetaMask
71,71,0071_eth_arbitrum,,eth,0x489Eb2CD8495Ca4588EADd5fE485F96Ed20dba40,arbitrum,,MetaMask
72,72,0072_eth_arbitrum,,eth,0x82b4cED262f5C554429D33821B494E9db3620361,arbitrum,,MetaMask
